year,Total/GtCO2,cumulative Total/GtCO2,budget_left,pct remaining,pct used,Temperature increase/degC
1850,2.61643064533333,2.61643064533333,2762.547510322479,99.9053788237808,0.0946211762192145,0.0011773937903999986
1851,2.70651374933333,5.32294439466666,2759.8409965731457,99.80749986227568,0.192500137724334,0.002395324977599997
1852,2.7534263839999973,8.076370778666657,2757.0875701891455,99.70792434188043,0.2920756581195657,0.0036343668503999956
1853,2.8204140746666644,10.896784853333322,2754.267156114479,99.60592626383232,0.3940737361676801,0.004903553183999995
1854,2.880645349333331,13.777430202666654,2751.386510765146,99.50174996865306,0.498250031346949,0.0061998435911999935
1855,2.899100918333331,16.676531120999986,2748.487409846812,99.39690624219686,0.603093757803133,0.007504439004449992
1856,2.9481765333333296,19.624707654333314,2745.539233313479,99.29028773435168,0.7097122656483301,0.008831118444449991
1857,2.974584202666664,22.599291856999976,2742.5646491108123,99.1827142137153,0.817285786284707,0.010169681335649989
1858,3.009985768999996,25.609277625999972,2739.5546633418126,99.07386042300854,0.9261395769914705,0.011524174931699988
1859,3.057036586333331,28.666314212333305,2736.497626755479,98.96330507614314,1.036694923856849,0.012899841395549987
1860,2.9751332759999976,31.641447488333302,2733.522493479479,98.85571169869738,1.144288301302625,0.014238651369749986
1861,2.8676993873333303,34.50914687566663,2730.6547940921455,98.75200358414958,1.247996415850424,0.015529116094049986
1862,2.8537840389999958,37.36293091466663,2727.8010100531455,98.64879870733489,1.3512012926651118,0.016813318911599984
1863,2.8776841366666623,40.24061505133329,2724.923325916479,98.54472950210507,1.4552704978949278,0.01810827677309998
1864,2.8741775136666643,43.11479256499996,2722.0491484028125,98.44078711116457,1.559212888835434,0.01940165665424998
1865,2.8708943933333297,45.98568695833329,2719.178254009479,98.33696345171353,1.6630365482864722,0.020693559131249976
1866,2.874035316666663,48.85972227499995,2716.3042186928124,98.23302620321677,1.7669737967832375,0.021986875023749974
1867,2.9067293673333294,51.76645164233328,2713.397489325479,98.12790659984468,1.8720934001553242,0.023294903239049973
1868,2.9039972436666637,54.670448885999946,2710.4934920818123,98.0228858015968,1.9771141984031946,0.024601701998699974
1869,2.9103213086666635,57.58077019466661,2707.583170773146,97.91763629846434,2.082363701535658,0.02591134658759997
1870,3.099724457666663,60.68049465233327,2704.483446315479,97.80553717798391,2.1944628220160785,0.027306222593549968
1871,3.2455223486666664,63.92601700099994,2701.2379239668126,97.68816539034479,2.3118346096552136,0.02876670765044997
1872,3.3614073356666605,67.2874243366666,2697.876516631146,97.56660271241945,2.4333972875805654,0.030279340951499964
1873,3.471334666666664,70.75875900333327,2694.405181964479,97.44106459819639,2.5589354018036117,0.03184144155149997
1874,3.47991575466666,74.23867475799993,2690.9252662098124,97.31521615561006,2.6847838443899374,0.03340740364109996
1875,3.56061901966666,77.79929377766659,2687.3646471901457,97.18644914230885,2.813550857691161,0.03500968219994996
1876,3.609742266666663,81.40903604433325,2683.754904923479,97.05590562504443,2.9440943749555744,0.036634066219949954
1877,3.6695155423333303,85.07855158666658,2680.085389381146,96.92320045382594,3.0767995461740663,0.038285348213999953
1878,3.7246083093333273,88.80315989599991,2676.360781071812,96.7885028956034,3.211497104396589,0.03996142195319995
1879,3.814380493,92.61754038899991,2672.5464005788126,96.65055879628666,3.349441203713354,0.041677893175049954
1880,3.948691566666661,96.56623195566658,2668.597709012146,96.50775744161237,3.4922425583876313,0.04345480438004995
1881,3.973953852333333,100.54018580799992,2664.6237551598124,96.36404249605502,3.6359575039449803,0.04524308361359995
1882,4.085563348999997,104.62574915699992,2660.5381918108124,96.21629127998897,3.7837087200110355,0.04708158712064995
1883,4.205575650666667,108.83132480766659,2656.332616160146,96.06419991251674,3.9358000874832553,0.04897409616344995
1884,4.236490896333333,113.06781570399993,2652.0961252638126,95.91099051926643,4.089009480733572,0.05088051706679995
1885,4.2479756326666624,117.31579133666659,2647.8481496311456,95.75736578947264,4.2426342105273465,0.052792106101499946
1886,4.291943659333326,121.60773499599992,2643.5562059718122,95.60215099024339,4.397849009756615,0.054723480748199944
1887,4.396457834666666,126.00419283066658,2639.159748137146,95.44315651727453,4.556843482725472,0.05670188677379994
1888,4.510536800999998,130.51472963166657,2634.6492113361455,95.28003646735006,4.7199635326499365,0.05873162833424994
1889,4.531315774999993,135.04604540666656,2630.117895561146,95.11616496201668,4.883835037983325,0.06077072043299994
1890,4.759307731999999,139.80535313866656,2625.3585878291456,94.94404830515276,5.05595169484723,0.06291240891239994
1891,4.915787421333334,144.7211405599999,2620.4428004078122,94.76627268221401,5.233727317785984,0.06512451325199994
1892,4.962878413999997,149.68401897399988,2615.4799219938122,94.586794050207,5.413205949792988,0.06735780853829994
1893,5.014456588333327,154.69847556233321,2610.4654654054793,94.40545013370209,5.5945498662979265,0.06961431400304993
1894,5.096905401666659,159.79538096399986,2605.3685600038125,94.22112452008646,5.778875479913541,0.07190792143379993
1895,5.221801453,165.01718241699987,2600.1467585508126,94.03228213806219,5.967717861937819,0.07425773208764994
1896,5.303560531666666,170.32074294866655,2594.843198019146,93.84048300264418,6.159516997355823,0.07664433432689993
1897,5.414014862333327,175.73475781099987,2589.4291831568125,93.64468937239604,6.355310627603961,0.07908064101494992
1898,5.533447701666663,181.26820551266653,2583.8957354551458,93.44457654654565,6.555423453454348,0.08157069248069992
1899,5.731877870666658,187.0000833833332,2578.163857584479,93.2372876482006,6.7627123517993954,0.08415003752249993
1900,5.947648831333326,192.94773221466653,2572.216208753146,93.0221955611379,6.977804438862112,0.08682647949659991
1901,6.061959268333325,199.00969148299987,2566.1542494848127,92.80296952616321,7.197030473836792,0.08955436116734991
1902,6.178380526000002,205.18807200899988,2559.9758689588125,92.57953320709137,7.420466792908622,0.09233463240404992
1903,6.377560525999996,211.56563253499988,2553.5983084328122,92.34889369847085,7.6511063015291425,0.0952045346407499
1904,6.465777107999993,218.03140964299988,2547.1325313248126,92.11506390587864,7.884936094121367,0.09811413433934991
1905,6.648980104666666,224.68038974766654,2540.4835512201457,91.87460871961798,8.125391280382024,0.1011061753864499
1906,6.77170462533333,231.45209437299988,2533.7118465948124,91.6297152966637,8.370284703336296,0.10415344246784991
1907,7.16298054133333,238.6150749143332,2526.5488660534793,91.37067168499176,8.629328315008241,0.1073767837114499
1908,7.082898979333335,245.69797389366653,2519.4659670741457,91.11452416063,8.885475839370008,0.1105640882521499
1909,7.222574059333334,252.92054795299987,2512.2433930148127,90.85332539579997,9.146674604200038,0.1138142465788499
1910,7.346091320000001,260.2666392729999,2504.8973016948125,90.58765972545172,9.412340274548283,0.11711998767284991
1911,7.382753893666668,267.6493931666666,2497.514547801146,90.32066818168515,9.679331818314859,0.12044222692499991
1912,7.476422944666663,275.1258161113332,2490.038124856479,90.05028916965267,9.949710830347321,0.1238066172500999
1913,7.731733498333329,282.85754960966653,2482.306391358146,89.77067705032108,10.229322949678922,0.1272858973243499
1914,7.400950262999995,290.2584998726665,2474.9054410951458,89.50302744903162,10.496972550968371,0.1306163249426999
1915,7.310861831999999,297.5693617046665,2467.594579263146,89.23863582567489,10.761364174325111,0.1339062127670999
1916,7.507827054999996,305.0771887596665,2460.0867522081458,88.96712110845446,11.03287889154554,0.1372847349418499
1917,7.662237205999996,312.7394259656665,2452.4245150021457,88.69002226840094,11.309977731599059,0.1407327416845499
1918,7.634698745999997,320.37412471166647,2444.789816256146,88.41391933530224,11.586080664697766,0.1441683561202499
1919,7.143701992333329,327.5178267039998,2437.6461142638127,88.15557291733785,11.844427082662158,0.1473830220167999
1920,7.7708200213333285,335.28864672533314,2429.875294242479,87.8745472643484,12.1254527356516,0.1508798910263999
1921,7.448219703666664,342.7368664289998,2422.4270745388126,87.60518820055778,12.394811799442216,0.1542315898930499
1922,7.654422316666663,350.3912887456665,2414.772652222146,87.3283719798896,12.671628020110406,0.15767607993554988
1923,8.102084078666664,358.49337282433316,2406.670568143479,87.03536642030491,12.964633579695093,0.16132201777094987
1924,8.142237715999999,366.6356105403332,2398.528330427479,86.74090873570374,13.259091264296252,0.16498602474314988
1925,8.23770001833333,374.8733105586665,2390.2906304091457,86.44299873129908,13.557001268700914,0.16869298975139987
1926,8.158963958999996,383.0322745176665,2382.131666450146,86.14793615514876,13.852063844851259,0.1723645235329499
1927,8.505762218333329,391.5380367359998,2373.6259042318125,85.8403318900882,14.159668109911806,0.1761921165311999
1928,8.505648201333331,400.0436849373331,2365.120256030479,85.53273174836363,14.467268251636362,0.18001965822179988
1929,8.802046360666663,408.8457312979998,2356.3182096698124,85.2144125980862,14.785587401913794,0.18398057908409987
1930,8.492685007333332,417.3384163053331,2347.8255246624794,84.90728126017498,15.092718739825022,0.18780228733739987
1931,8.137140685666665,425.4755569909998,2339.6883839768125,84.61300790570549,15.386992094294511,0.19146400064594987
1932,7.844281405333331,433.3198383963331,2331.844102571479,84.32932557898644,15.670674421013548,0.19499392727834988
1933,8.037814087999998,441.35765248433313,2323.806288483479,84.03864429355109,15.961355706448899,0.19861094361794987
1934,8.364690104,449.7223425883331,2315.4415983794793,83.73614179161727,16.263858208382736,0.20237505416474988
1935,8.54554322133333,458.26788580966644,2306.896055158146,83.42709887757064,16.57290112242936,0.20622054861434988
1936,8.946664016333331,467.21454982599977,2297.9493911418126,83.10354974242598,16.896450257574017,0.21024654742169988
1937,9.239005695666664,476.45355552166643,2288.7103854461457,82.76942829816785,17.230571701832144,0.21440409998474988
1938,8.998469499666664,485.4520250213331,2279.711915946479,82.44400565807234,17.555994341927665,0.21845341125959986
1939,9.249648946666664,494.70167396799974,2270.4622669998125,82.10949930893236,17.890500691067643,0.22261575328559985
1940,9.864945540666666,504.5666195086664,2260.597321459146,81.75274123775579,18.247258762244208,0.22705497877889985
1941,10.127302591333333,514.6939220999998,2250.4700188678125,81.38649522820495,18.61350477179505,0.23161226494499987
1942,10.146391007999998,524.8403131079998,2240.3236278598124,81.01955890093429,18.98044109906571,0.23617814089859984
1943,10.243019777666666,535.0833328856664,2230.080608082146,80.64912806947763,19.350871930522366,0.24078749979854988
1944,10.31666265233333,545.3999955379998,2219.7639454298123,80.27603400082278,19.723965999177206,0.24542999799209986
1945,9.425114719999998,554.8251102579998,2210.3388307098126,79.93518206866932,20.064817931330683,0.24967129961609985
1946,9.797440160666664,564.6225504186664,2200.541390549146,79.58086527697712,20.41913472302288,0.25408014768839987
1947,10.245043387999997,574.8675938066664,2190.296347161146,79.21036126322906,20.789638736770947,0.25869041721299985
1948,10.469446129,585.3370399356663,2179.826901032146,78.83174189915128,21.168258100848707,0.26340166797104986
1949,10.23857451933333,595.5756144549997,2169.5883265128127,78.46147182699963,21.538528173000373,0.26800902650474984
1950,11.41997319233333,606.9955876473331,2158.168353320479,78.0484773920897,21.951522607910313,0.2731480144412999
1951,11.970116216333333,618.9657038636664,2146.198237104146,77.61558746325082,22.384412536749167,0.27853456673864985
1952,12.18031508533333,631.1460189489997,2134.017922018813,77.17509585604905,22.824904143950953,0.2840157085270498
1953,12.469851878999998,643.6158708279996,2121.548070139813,76.72413337623907,23.275866623760937,0.28962714187259986
1954,12.783970982666665,656.3998418106663,2108.764099157146,76.26181102372811,23.738188976271882,0.29537992881479985
1955,13.618605843333329,670.0184476539996,2095.145493313813,75.7693047516202,24.23069524837981,0.30150830144429985
1956,14.304569536666666,684.3230171906663,2080.840923777146,75.25199113687444,24.748008863125563,0.30794535773579984
1957,14.757575534999997,699.0805927256663,2066.083348242146,74.71829491306808,25.28170508693191,0.3145862667265498
1958,15.181999299333329,714.2625920249997,2050.9013489428125,74.16924973442961,25.830750265570384,0.3214181664112498
1959,15.970931176666666,730.2335232016663,2034.930417766146,73.59167344898606,26.408326551013943,0.32860508544074984
1960,15.954564407,746.1880876086664,2018.975853359146,73.0146890550186,26.98531094498141,0.33578463942389986
1961,15.522418792666665,761.7105064013331,2003.4534345664792,72.45333287057356,27.54666712942644,0.34276972788059984
1962,15.638982564999992,777.3494889663331,1987.8144520014794,71.88776124809948,28.112238751900527,0.34980727003484985
1963,15.919707147999993,793.2691961143331,1971.894744853479,71.31203743975168,28.687962560248327,0.3569711382514498
1964,16.29998848166667,809.5691845959998,1955.5947563718125,70.72256105319205,29.277438946807948,0.36430613306819987
1965,16.378170001999997,825.9473545979998,1939.2165863698124,70.13025729284908,29.86974270715091,0.3716763095690998
1966,16.707270942666664,842.6546255406665,1922.5093154271458,69.52605185334018,30.47394814665983,0.3791945814932998
1967,17.161115762666665,859.8157413033332,1905.3481996644791,68.90543346943848,31.09456653056152,0.38691708358649984
1968,17.88141205,877.6971533533332,1887.466787614479,68.25876613138034,31.741233868619652,0.39496371900899985
1969,18.427039573999995,896.1241929273332,1869.039748040479,67.59236659893344,32.40763340106656,0.40325588681729985
1970,19.489339771666664,915.6135326989998,1849.5504082688126,66.8875498073169,33.1124501926831,0.41202608971454985
1971,20.082832079999996,935.6963647789999,1829.4675761888125,66.16126982867047,33.83873017132954,0.42106336415054985
1972,20.811147441,956.5075122199999,1808.6564287478125,65.4086508923149,34.59134910768512,0.43042838049899984
1973,21.524589844999994,978.0321020649999,1787.1318389028124,64.63023086715476,35.36976913284523,0.4401144459292498
1974,21.329132118000004,999.3612341829999,1765.8027067848125,63.85887941843977,36.14112058156023,0.44971255538234983
1975,21.414311485,1020.7755456679998,1744.3883952998126,63.084447524267716,36.91555247573229,0.4593489955505998
1976,22.285780739333337,1043.0613264073331,1722.1026145604792,62.27849962334386,37.721500376656145,0.46937759688329983
1977,22.899507227333334,1065.9608336346664,1699.203107333146,61.45035678204388,38.54964321795612,0.47968237513559986
1978,23.290802190666668,1089.251635825333,1675.9123051424792,60.60806306319425,39.39193693680574,0.49016323612139984
1979,23.666345306666663,1112.9179811319998,1652.2459598358125,59.75218812008388,40.247811879916114,0.5008130915093998
1980,23.575567830666667,1136.4935489626664,1628.670392005146,58.89959607368193,41.10040392631807,0.5114220970331999
1981,23.417027345999998,1159.9105763086664,1605.253364659146,58.05273752041278,41.947262479587216,0.5219597593388998
1982,23.28239842733333,1183.1929747359998,1581.9709662318126,57.210747717118,42.789252282882,0.5324368386311998
1983,23.801129112999995,1206.9941038489997,1558.1698371188127,56.349998422641455,43.65000157735854,0.5431473467320498
1984,24.958893058999994,1231.9529969079997,1533.2109440598126,55.44737949689833,44.55262050310167,0.5543788486085998
1985,25.390201014,1257.3431979219997,1507.8207430458126,54.52916265493006,45.470837345069945,0.5658044390648999
1986,25.729057132999998,1283.0722550549997,1482.0916859128126,53.598691345370206,46.401308654629794,0.5773825147747498
1987,26.370235062,1309.4424901169996,1455.7214508508127,52.64503233545378,47.35496766454623,0.5892491205526498
1988,27.149863246333332,1336.592353363333,1428.5715876044794,51.663178679542476,48.33682132045752,0.6014665590134998
1989,27.263513642333333,1363.8558670056661,1401.3080739621462,50.67721494558784,49.32278505441215,0.6137351401525498
1990,27.618984575666662,1391.4748515813328,1373.6890893864795,49.678395882223384,50.321604117776616,0.6261636832115998
1991,27.98842314233333,1419.4632747236662,1345.700666244146,48.666216360869676,51.333783639130324,0.6387584736256497
1992,27.456241119333335,1446.9195158429995,1318.2444251248128,47.673282787834445,52.326717212165555,0.6511137821293498
1993,27.67171979166667,1474.5912356346662,1290.5727053331461,46.67255659646145,53.327443403538545,0.6635660560355998
1994,28.249326487,1502.8405621216662,1262.3233788461462,45.6509417088786,54.3490582911214,0.6762782529547497
1995,28.72832560966666,1531.5688877313328,1233.5950532364795,44.61200419114098,55.38799580885902,0.6892059994790998
1996,29.426327963999995,1560.9952156953327,1204.1687252724796,43.547823961968,56.452176038032,0.7024478470628999
1997,31.389200691333333,1592.384416386666,1172.7795245811462,42.41265796959117,57.58734203040883,0.7165729873739998
1998,29.683731159333334,1622.0681475459994,1143.095793421813,41.33916895436324,58.66083104563676,0.7299306663956998
1999,30.200702602333337,1652.2688501483328,1112.8950908194795,40.246984069594234,59.75301593040577,0.7435209825667498
2000,30.549208957666668,1682.8180591059995,1082.3458818618128,39.142195723953705,60.85780427604629,0.7572681265976998
2001,30.38863062233333,1713.2066897283328,1051.9572512394795,38.043214568727976,61.956785431272024,0.7709430103777498
2002,31.43867454166667,1744.6453642699994,1020.5185766978129,36.906259393091524,63.093740606908476,0.7850904139214998
2003,33.281198929666665,1777.9265631996661,987.2373777681462,35.70267075819784,64.29732924180216,0.8000669534398498
2004,33.97554130533333,1811.9021045049994,953.2618364628129,34.47397177214634,65.52602822785366,0.8153559470272498
2005,34.31105037033333,1846.2131548753327,918.9507860924796,33.23313936210398,66.76686063789602,0.8307959196938998
2006,35.64411871633333,1881.8572735916662,883.3066673761462,31.94409757372242,68.05590242627758,0.8468357731162498
2007,35.91959074133334,1917.7768643329996,847.3870766348127,30.645093554135734,69.35490644586426,0.8629995889498498
2008,36.70435823133333,1954.481222564333,810.6827184034794,29.31770902956802,70.68229097043198,0.8795165501539498
2009,36.572806108,1991.0540286723328,774.1099122954795,27.995081985068115,72.00491801493189,0.8959743129025498
2010,38.17824165133334,2029.2322703236662,735.9316706441462,26.61439561469794,73.38560438530206,0.9131545216456498
2011,39.425622475333334,2068.6578927989995,696.5060481688129,25.188598688475395,74.8114013115246,0.9308960517595498
2012,39.808882058,2108.4667748569996,656.6971661108128,23.748941477985845,76.25105852201416,0.9488100486856498
2013,39.92178416866667,2148.3885590256664,616.7753819421459,22.30520125060916,77.69479874939084,0.9667748515615499
2014,40.47205837833334,2188.8606174039996,576.3033235638127,20.841560785076112,79.15843921492389,0.9849872778317997
2015,40.91958179833333,2229.780199202333,535.3837417654795,19.361735983657237,80.63826401634276,1.00340108964105
2016,40.02566045333333,2269.805859655666,495.35808131214617,17.914239151360047,82.08576084863995,1.0214126368450498
2017,40.40101322466666,2310.206872880333,454.95706808747946,16.45316797846871,83.54683202153129,1.0395930927961499
2018,40.98095155233333,2351.1878244326663,413.97611653514605,14.971123787700403,85.0288762122996,1.0580345209946997
2019,41.61452607466667,2392.802350507333,372.3615904604794,13.466166867854938,86.53383313214506,1.0767610577282998
2020,39.294984127666666,2432.0973346349997,333.0666063328126,12.04509437571498,87.95490562428502,1.0944438005857497
2021,41.118139281,2473.2154739159996,291.9484670518127,10.558088897601863,89.44191110239814,1.1129469632621998
2022,41.948467051812905,2515.1639409678123,250.0,9.041055262441313,90.9589447375587,1.1318237734355157
2023,42.43571276079624,2557.5996537286087,207.56428723920362,7.506400765755529,92.49359923424447,1.1509198441778739
